Genus
Sambucus
Viburnum
Liquidambar
Anacardium
Mangifera
Pistacia
Rhus
Toxicodendron
Pachypodium
Ilex
Kalopanax
Schefflera
Alnus
Betula
Carpinus
Corylus
Catalpa
Jacaranda
Handroanthus
Tabebuia
Carnegiea
Celtis
Cornus
Dipterocarpus
Shorea
Diospyros
Arbutus
Eucommia
Acacia
Bauhinia
Paubrasilia
Gleditsia
Laburnum
Robinia
Castanea
Fagus
Lithocarpus
Notholithocarpus
Quercus
Fouquieria
Parrotia
Carya
Juglans
Pterocarya
Bertholletia
Lagerstroemia
Adansonia
Bombax
Brachychiton
Ceiba
Durio
Ochroma
Theobroma
Tilia
Azadirachta
Melia
Swietenia
Ficus
Morus
Eucalyptus
Eugenia
Myrtus
Psidium
Nothofagus
Davidia
Nyssa
Fraxinus
Olea
Paulownia
Platanus
Rhizophora
Crataegus
Malus
Prunus
Pyrus
Sorbus
Coffea
Citrus
Phellodendron
Tetradium
Populus
Salix
Acer
Aesculus
Koelreuteria
Litchi
Ungnadia
Argania
Palaquium
Sideroxylon
Ailanthus
Gordonia
Stewartia
Gonystylus
Ulmus
Zelkova
Cordyline
Dracaena
Yucca
Areca
Cocos
Phoenix
Trachycarpus
Annona
Asimina
Cinnamomum
Laurus
Persea
Sassafras
Liriodendron
Magnolia
Myristica
Agathis
Araucaria
Wollemia
Chamaecyparis
Cryptomeria
Cupressus
Fitzroya
Juniperus
Metasequoia
Sequoia
Sequoiadendron
Taxodium
Thuja
Abies
Cedrus
Larix
Picea
Pinus
Pseudotsuga
Afrocarpus
Dacrycarpus
Dacrydium
Podocarpus
Prumnopitys
Sciadopitys
Taxus
Ginkgo
Cycas
Lepidozamia
Cyathea
Dicksonia
